id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_tipousina;nom_tipocombustivel;id_ons;ceg;din_instante;val_potenciainstalada;val_dispoperacional;val_dispsincronizada
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 11:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 12:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 13:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 14:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 15:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 16:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 17:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 18:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 19:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 20:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 21:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 22:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-09 23:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 00:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 01:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 02:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 03:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 04:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 05:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 06:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 07:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 08:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 09:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 11:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 12:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 13:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 14:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 15:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 16:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 17:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 18:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 19:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 20:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 21:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 22:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-10 23:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 00:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 01:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 02:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 03:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 04:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 05:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 06:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 07:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 08:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 09:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 11:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 12:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 13:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 14:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 15:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 16:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 17:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 18:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 19:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 20:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 21:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 22:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-11 23:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 00:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 01:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 02:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 03:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 04:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 05:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 06:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 07:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 08:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 09:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 11:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 12:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 13:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 14:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 15:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 16:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 17:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 18:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 19:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 20:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 21:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 22:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-12 23:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 00:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 01:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 02:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 03:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 04:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 05:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 06:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 07:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 08:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 09:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 11:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 12:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 13:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 14:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 15:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 16:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 17:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 18:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 19:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 20:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 21:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 22:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-13 23:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 00:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 01:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 02:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 03:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 04:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 05:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 06:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 07:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 08:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 09:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 11:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 12:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 13:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 14:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 15:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 16:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 17:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 18:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 19:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 20:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 21:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 22:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-14 23:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 00:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 01:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 02:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 03:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 04:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 05:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 06:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 07:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 08:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 09:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 10:00:00;174.6;0.0;0.0
SE;Sudeste/Centro-Oeste;ES;Espírito Santo;Viana;UTE;Óleo Combustível;ESUTEV;UTE.PE.ES.029664-3.01;2025-02-15 11:00:00;174.6;0.0;0.0
